category,bfs,municipality,provider,price
Typ II,5535,Saint-Barthélemy (VD),Energiapro SA,11.67
Typ II,5537,Villars-le-Terroir,Energiapro SA,11.67
Typ II,5539,Vuarrens,Energiapro SA,11.67
Typ II,5540,Montilliez,Energiapro SA,11.67
Typ II,5541,Goumoëns,Energiapro SA,11.67
Typ II,5561,Grandson,Service des Energies,9.65
Typ II,5568,Sainte-Croix,"Commune de Sainte-Croix,  Service technique",9.22
Typ II,5581,Belmont-sur-Lausanne,Energiapro SA,11.67
Typ II,5582,Cheseaux-sur-Lausanne,Services industriels Lausanne,10.69
Typ II,5583,Crissier,Services industriels Lausanne,10.69
Typ II,5584,Epalinges,Services industriels Lausanne,10.69
Typ II,5585,Jouxtens-Mézery,Services industriels Lausanne,10.69
Typ II,5586,Lausanne,Services industriels Lausanne,10.69
Typ II,5587,Le Mont-sur-Lausanne,Services industriels Lausanne,10.69
Typ II,5588,Paudex,Services industriels Lausanne,10.69
Typ II,5589,Prilly,Services industriels Lausanne,10.69
Typ II,5590,Pully,Services industriels Lausanne,10.69
Typ II,5591,Renens (VD),Services industriels Lausanne,10.69
Typ II,5592,Romanel-sur-Lausanne,Services industriels Lausanne,10.69
Typ II,5601,Chexbres,Energiapro SA,11.67
Typ II,5604,Forel (Lavaux),Energiapro SA,11.67
Typ II,5606,Lutry,Services industriels Lausanne,10.69
Typ II,5607,Puidoux,Energiapro SA,11.67
Typ II,5609,Rivaz,Energiapro SA,11.67
Typ II,5610,Saint-Saphorin (Lavaux),Energiapro SA,11.67
Typ II,5611,Savigny,Energiapro SA,11.67
Typ II,5613,Bourg-en-Lavaux,Energiapro SA,11.67
Typ II,5621,Aclens,Energiapro SA,11.67
Typ II,5622,Bremblens,Energiapro SA,11.67
Typ II,5623,Buchillon,Services industriels Lausanne,10.69
Typ II,5624,Bussigny-près-Lausanne,Services industriels Lausanne,10.69
Typ II,5625,Bussy-Chardonney,Energiapro SA,11.67
Typ II,5627,Chavannes-près-Renens,Services industriels Lausanne,10.69
Typ II,5629,Clarmont,Energiapro SA,11.67
Typ II,5631,Denens,Energiapro SA,11.67
Typ II,5632,Denges,Services industriels Lausanne,10.69
Typ II,5633,Echandens,Energiapro SA,11.67
Typ II,5633,Echandens,Services industriels Lausanne,10.69
Typ II,5634,Echichens,Energiapro SA,11.67
Typ II,5635,Ecublens (VD),Services industriels Lausanne,10.69
Typ II,5636,Etoy,Services industriels Lausanne,10.69
Typ II,5637,Lavigny,"Commune d""Aubonne, Services Industriels",8.03
Typ II,5638,Lonay,Services industriels Lausanne,10.69
Typ II,5639,Lully (VD),Energiapro SA,11.67
Typ II,5640,Lussy-sur-Morges,Energiapro SA,11.67
Typ II,5642,Morges,Services industriels Morges Service du gaz,10.32
Typ II,5643,Préverenges,Services industriels Lausanne,10.69
Typ II,5644,Reverolle,Energiapro SA,11.67
Typ II,5645,Romanel-sur-Morges,Energiapro SA,11.67
Typ II,5646,Saint-Prex,Services industriels Lausanne,10.69
Typ II,5648,Saint-Sulpice (VD),Services industriels Lausanne,10.69
Typ II,5649,Tolochenaz,Services industriels Lausanne,10.69
Typ II,5651,Villars-Sainte-Croix,Energiapro SA,11.67
Typ II,5652,Villars-sous-Yens,Energiapro SA,11.67
Typ II,5653,Vufflens-le-Château,Energiapro SA,11.67
Typ II,5654,Vullierens,Energiapro SA,11.67
Typ II,5655,Yens,Energiapro SA,11.67
Typ II,5661,Boulens,Energiapro SA,11.67
Typ II,5669,Curtilles,Energiapro SA,11.67
Typ II,5671,Dompierre (VD),Energiapro SA,11.67
Typ II,5673,Hermenches,Energiapro SA,11.67
Typ II,5674,Lovatens,Energiapro SA,11.67
Typ II,5675,Lucens,Energiapro SA,11.67
Typ II,5678,Moudon,"Administration communale de Moudon,Services industriels",11.53
Typ II,5678,Moudon,Energiapro SA,11.67
Typ II,5680,Ogens,Energiapro SA,11.67
Typ II,5683,Prévonloup,Energiapro SA,11.67
Typ II,5688,Syens,Energiapro SA,11.67
Typ II,5692,Vucherens,Energiapro SA,11.67
Typ II,5693,Montanaire,Energiapro SA,11.67
Typ II,5715,Duillier,Services industriels de Nyon,9.64
Typ II,5716,Eysins,Services industriels de Nyon,9.64
Typ II,5721,Gland,Services industriels Lausanne,10.69
Typ II,5724,Nyon,Services industriels de Nyon,9.64
Typ II,5725,Prangins,Services industriels de Nyon,9.64
Typ II,5728,Signy-Avenex,Services industriels de Nyon,9.64
Typ II,5732,Vich,Services industriels Lausanne,10.69
Typ II,5741,"L""Abergement",Vo Energies,10.82
Typ II,5742,Agiez,Urbagaz S.A.,9.95
Typ II,5743,Arnex-sur-Orbe,Urbagaz S.A.,9.95
Typ II,5744,Ballaigues,Vo Energies,10.82
Typ II,5747,Bofflens,Urbagaz S.A.,9.95
Typ II,5749,Chavornay,Urbagaz S.A.,9.95
Typ II,5750,Les Clées,Vo Energies,10.82
Typ II,5752,Croy,Urbagaz S.A.,9.95
